Year,Approving State Agency,Training Agency Site Name,Operational Status,Certificate Type,Methodology,Language,Number of Training Classes,Enrolled Student Count,Approved Student Count,Certified Student Count,Withdrawn Student Count,Street Address,City,State,Zip Code,County Name,County Code,Region
2019,Education Department - BPSS,Efficient Care Training Center,OPEN,Home Health Aide,Core Training,English,5,52,66,66,0,54 06 Myrtle Avenue,Ridgewood,NY,11385,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                        
2019,Department of Health,Caregivers,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,560 West Third Street Suite 6,Jamestown,NY,14701,Chautauqua,13,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,Heart to Heart Home Care,OPEN,Personal Care Aide,Alternative Competency Demonstration,Spanish; Castilian,7,29,29,29,0,"2488 Grand Concourse, Room 409",Bronx,NY,10458,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                          
2019,Department of Health,UTOPIA HOME CARE INC RIVERHEAD,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,1,180 OLD COUNTRY ROAD-ROUTE 58,RIVERHEAD,NY,11901,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                
2019,Department of Health,Home Health Care Partners Corporation,OPEN,Home Health Aide,Nurse Aide Transition,English,1,3,3,3,0,2-8 West Main Street,Johnstown,NY,12095,Fulton,35,Capital District                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Home Sweet Home on the Hudson,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,38 Prospect Avenue,Catskill,NY,12414,Greene,39,Capital District                                                                                                                                                                                                                                                                                                              
2019,Department of Health,Etta Aslam,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,2775 Buffalo Rd. Suite 2,Rochester,NY,14624,Monroe,55,Western  - Rochester                                                                                                                                                                                                                                                                                                                      
2019,Education Department - BPSS,Clinton Institute,OPEN,Home Health Aide,Core Training,English,7,121,182,181,0,"391 East 149 Street,Suite 305",Bronx,NY,10455,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                            
2019,Department of Health,Batavia HHATP,OPEN,Home Health Aide,Core Training,English,1,1,0,0,1,29 Liberty,Batavia,NY,14020,Genesee,37,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                             
2019,Department of Health,Batavia HHATP,OPEN,Home Health Aide,Nurse Aide Transition,English,3,6,6,6,0,29 Liberty,Batavia,NY,14020,Genesee,37,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,UTOPIA HOME CARE INC RIVERHEAD,OPEN,Home Health Aide,Nurse Aide Transition,English,0,0,1,1,0,180 OLD COUNTRY ROAD-ROUTE 58,RIVERHEAD,NY,11901,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                
2019,Department of Health,"Any-Time Home Care, Inc. - Poughkeepsie",OPEN,Personal Care Aide,Basic Training,English,1,4,3,3,1,389 Hooker Ave,Poughkeepsie,NY,12603,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                     
2019,Department of Health,Recco Home Care - New Rochelle,OPEN,Home Health Aide,Competency Evaluation,English,14,14,14,14,0,145 Huguenot Street,New Rochelle,NY,10801,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                              
2019,Department of Health,Susquehanna Home Health Care PCA Training Program,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,5,8,7,7,1,282 Riverside Drive,Johnson City,NY,13790,Broome,7,Central New York                                                                                                                                                                                                                                                                                      
2019,Department of Health,VNA HOME CARE SERVICES WILLIAMSVILLE,OPEN,Home Health Aide,Core Training,English,1,4,3,3,1,2100 WEHRLE DRIVE,WILLIAMSVILLE,NY,14221,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Jan & Bev's Home Care, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,102 N. Main Street,Wellsville,NY,14895,Allegany,3,Western  - Buffalo                                                                                                                                                                                                                                                                                                         
2019,Department of Health,Preferred Home Care of New York,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,2,2,0,19 Count Street,White Plains,NY,10601,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                     
2019,Education Department - BPSS,Efficient Care Training Center,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,"54 06 Myrtle Avenue,Suite 105",Ridgewood,NY,11385,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                       
2019,Department of Health,The Pavilion At Vestal LLC,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,1,2,2,2,0,105 West Sheedy Road,Vestal,NY,13850,Broome,7,Central New York                                                                                                                                                                                                                                                                                                                              
2019,Department of Health,"AMERICARE, INC",OPEN,Home Health Aide,Core Training,English,4,82,79,79,2,271 GRAND STREET,NEW YORK,NY,10002,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                               
2019,Department of Health,"LIVING RESOURCES HOME CARE AGENCY, INC ALBANY",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,1,3,3,6,1,300 WASHINGTON AVE EXT,ALBANY,NY,12203,Albany,1,Capital District                                                                                                                                                                                                                                                                                                       
2019,Department of Health,Preferred Home Care of New York,OPEN,Home Health Aide,Core Training,English,2,22,9,9,1,19 Count Street,White Plains,NY,10601,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Unlimited Care, Inc. - Newburgh ",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,2,2,0,356 Meadow Avenue,Newburgh,NY,12550,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                         
2019,Department of Health,SELF HELP COMMUNITY SERVICES HEMPSTEAD,OPEN,Home Health Aide,Competency Evaluation,English,2,2,2,2,0,498 Union Ave,Westbury ,NY,11590,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                          
2019,Education Department - BPSS,"Daisley Institute, Inc.",OPEN,Personal Care Aide,Basic Training,English,9,202,214,214,1,"229 Empire Boulevard,Unit 3",Brooklyn,NY,11225,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                               
2019,Department of Health,PCA Training ,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,18 Montcalm St,Ticonderoga,NY,12883,Essex,31,Capital District                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,BETTER HOME HEALTH CARE AGENCY INC - ROCKVILLE CTR,OPEN,Home Health Aide,Core Training,English,5,42,40,34,3,310 MERRICK RD,ROCKVILLE CENTRE,NY,11570,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                           
2019,Department of Health,"New Beginnings Home Care, Inc.",OPEN,Personal Care Aide,Basic Training,English,4,17,14,14,0,14 East Garden St.,Auburn,NY,13201,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                              
2019,Department of Health,"Best Care, Inc. - Hempstead",OPEN,Personal Care Aide,Basic Training,English,3,43,23,23,30,"50 Clinton Street,Suite 203",Hempstead,NY,11550,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                    
2019,Department of Health,"BESTCARE, INC BAY SHORE",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,2,14,14,14,1,97 West Main Street,BAY SHORE,NY,11706,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                       
2019,Department of Health,Home Instead Senior Care,OPEN,Personal Care Aide,Basic Training,English,1,4,4,4,0,"650 Franklin Street,Suite #301",Schenectady,NY,12305,Schenectady,93,Capital District                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,"South Shore Home Health services, inc.",OPEN,Home Health Aide,Competency Evaluation,English,3,5,5,5,0,1225 Montauk Hwy,Oakdale,NY,11769,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                     
2019,Education Department - BPSS,Expanding Horizons Institute,OPEN,Home Health Aide,Core Training,English,7,119,148,148,3,"60-19 Roosevelt Avenue, 2nd Floor",Woodside,NY,11377,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                        
2019,Department of Health,Marquis Home Care Home Health Aide Training Program,OPEN,Home Health Aide,Competency Evaluation,English,2,3,0,0,3,232 North Main Street,Spring Valley,NY,10977,Rockland,87,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                              
2019,Education Department - BPSS,CLINTON INSTITUTE,OPEN,Home Health Aide,Core Training,English,16,298,384,384,4,1712 KINGS HIGHWAY,BROOKLYN,NY,11229,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Self-Direct Inc.,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,5,5,5,0,421 Broad St.,Utica,NY,13501,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                               
2019,Department of Health,TLFC Webster,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,3,5,5,5,0,"1270 Creek Street,Suite 3",Webster,NY,14580,Monroe,55,Western  - Rochester                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,"Any-Time Home Care, Inc. - White Plains",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,11,12,9,9,3,"5 Waller Avenue,4th Floor",White Plains,NY,10601,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                            
2019,Department of Health,"BESTCARE, INC FOREST HILLS",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,2,34,13,13,1,70-50 AUSTIN STREET,FOREST HILLS,NY,11375,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                 
2019,Department of Health,Americare Inc,OPEN,Home Health Aide,Core Training,English,4,79,68,68,15,78-26 parsons Blvd,Fresh Meadows,NY,11366,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Hospice Buffalo, Inc",OPEN,Home Health Aide,Nurse Aide Transition,English,1,2,2,2,0,130 Bennett Rd,Cheektowaga,NY,14227,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                       
2019,Education Department - BPSS,JMB Home Health Training School,OPEN,Home Health Aide,Core Training,English,16,195,188,208,2,"19-31 Mott Avenue,Suite 401",Far Rockaway,NY,11691,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                      
2019,Department of Health,A & T HEALTHCARE LLC,OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,"339 NORTH MAIN STREET,BLDG B, SUITE 5 & 6",NEW CITY,NY,10956,Rockland,87,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Family Home Health Care, Inc.",OPEN,Home Health Aide,Core Training,English,4,62,35,35,8,15 Metrotech Center,Brooklyn,NY,11201,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                
2019,Department of Health,Health Services of Northern New York,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,1,2,0,0,1,56 Market Street,Potsdam,NY,13676,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                  
2019,Department of Health,Sunshine Homecare Services ,OPEN,Home Health Aide,Core Training,English,1,3,2,2,1,10 Schriever Ln,New City,NY,10956,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,"ElderChoice, Inc.",OPEN,Personal Care Aide,Basic Training,English,3,10,7,7,3,19 Church St,Cortland,NY,13045,Cortland,23,Central New York                                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,Special Touch Home Care Services ,OPEN,Home Health Aide,Core Training,Spanish; Castilian,4,38,34,34,0,929 Kings Highway,Brooklyn,NY,11223,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                     
2019,Education Department - EMSC,Hewes Educational Center,OPEN,Home Health Aide,Core Training,English,0,0,23,23,0,2615 North Maple Avenue,Ashville,NY,14710,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                              
2019,Education Department - BPSS,Cudley's Training Program,OPEN,Personal Care Aide,Basic Training,Spanish; Castilian,0,0,0,76,0,"391 East 149th Street,Suite  521",Bronx,NY,10455,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                        
2019,Department of Health,Good Shepherd Fairview Home,OPEN,Home Health Aide,Nurse Aide Transition,English,2,2,2,2,0,80 Faurview Avenue,Binghamton,NY,13904,Broome,7,Central New York                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,Americare of New York City,OPEN,Home Health Aide,Core Training,English,1,17,11,11,5,"2255 Coleman Street,Classroom B",Brooklyn,NY,11234,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                       
2019,Education Department - EMSC,Greater Southern Tier BOCES,OPEN,Personal Care Aide,Basic Training,English,1,5,5,5,0,"Bush Education Center,459 Philo Road",Elmira,NY,14903,Chemung,15,Western  - Rochester                                                                                                                                                                                                                                                                                                        
2019,Department of Health,VIP HEALTH CARE SERVICES RICHMOND HILL,OPEN,Home Health Aide,Core Training,English,3,56,39,49,18,116-08 MYRTLE AVE,RICHMOND HILL,NY,11418,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                    
2019,Department of Health,PCA Training Program,OPEN,Personal Care Aide,Basic Training,English,4,15,13,13,2,"695 Dutchess Turnpike,Suite 107",Poughkeepsie,NY,12603,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                    
2019,Department of Health,VIP Health Care Services,OPEN,Home Health Aide,Competency Evaluation,English,5,7,5,5,2,"466 Main Street,Suite 204",New Rochelle,NY,10801,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                
2019,Department of Health,PEOPLE CARE INC - NEW YORK,OPEN,Home Health Aide,Core Training,English,1,20,10,10,12,116 WEST 32ND STREET 16TH FLR.,NEW YORK,NY,10001,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                      
2019,Department of Health,Marquis Home Care Home Health Aide Training Program,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,2,2,0,0,1,232 North Main Street,Spring Valley,NY,10977,Rockland,87,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                         
2019,Department of Health,ATTENTIVE CARE OF ALBANY INC,OPEN,Home Health Aide,Core Training,English,1,6,3,3,3,5 COMPUTER DRIVE WEST,ALBANY,NY,12205,Albany,1,Capital District                                                                                                                                                                                                                                                                                                                                        
2019,Education Department - BPSS,T & J Nurses Aide Training School,OPEN,Home Health Aide,Core Training,English,3,23,38,38,0,8 East Prospect Avenue,Mount Vernon,NY,10550,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                          
2019,Department of Health,PREMIER HOME HEALTH CARE SERVICES INC BRONX,OPEN,Home Health Aide,Core Training,English,0,0,0,0,4,"2510 WESTCHESTER AVE, SUITE 200",BRONX,NY,10462,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                             
2019,Department of Health,"Isabella Visiting Care, Inc. ",OPEN,Home Health Aide,Core Training,English,2,33,42,42,7,"42 Broadway,1201",NY,NY,10004,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,Community Health Aide Services,OPEN,Personal Care Aide,Basic Training,English,5,111,63,63,27,90 North St Suite 202,Middletown,NY,10940,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                        
2019,Department of Health,Mercy Home Care of WNY,OPEN,Home Health Aide,Nurse Aide Transition,English,3,4,3,3,1,"144 Genesee St,",Buffalo,NY,14203,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                        
2019,Education Department - BPSS,Dennelisse LHCSA,OPEN,Personal Care Aide,Basic Training,Spanish; Castilian,1,0,0,0,0,"16 East 40th Street, 12th Floor",New York,NY,10016,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                            
2019,Department of Health,"Family Home Health Care, Inc.",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,1,1,1,1,0,65 South Broadway,Tarrytown,NY,10591,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                 
2019,Department of Health,Community Health Aide Services,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,"435 South Broadway, Suite 5",Yonkers,NY,10705,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                            
2019,Department of Health,TANGLEWOOD MANOR,OPEN,Home Health Aide,Nurse Aide Transition,English,1,2,1,1,1,560 FAIRMONT AVE.,JAMESTOWN,NY,14701,Chautauqua,13,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                      
2019,Department of Health,MID-HUDSON MANAGED HOME CARE INC,OPEN,Home Health Aide,Nurse Aide Transition,English,0,0,1,1,0,243 ROUTE 17K,NEWBURGH,NY,12550,Orange,71,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                
2019,Department of Health,Presbyterian Residential Community,OPEN,Home Health Aide,Core Training,English,6,8,8,8,0,4300 Middle Settlement Road,New Hartford,NY,13413,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,"BESTCARE, INC BAY SHORE",OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,97 West Main Street,BAY SHORE,NY,11706,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                               
2019,Department of Health,"Isabella Visiting Care, Inc.",OPEN,Home Health Aide,Core Training,Spanish; Castilian,1,16,15,33,1,"42 Broadway,12th Floor, Suite 1201",New York,NY,10004,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                  
2019,Department of Health,"Winds of Agape, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,1414 Grant Boulevard,Syracuse,NY,13208,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,Belvedere Home Care,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,9,12,15,15,0,39 Columbia Street,Albany,NY,12207,Albany,1,Capital District                                                                                                                                                                                                                                                                                                                        
2019,Department of Health,WillCare,OPEN,Home Health Aide,Nurse Aide Transition,English,2,2,6,6,0,2910 William Street,Cheektowaga,NY,14227,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,"New Beginnings Home Care, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,4,5,5,5,0,14 East Garden St.,Auburn,NY,13201,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                           
2019,Department of Health,Home Health Care Partners Corporation,OPEN,Home Health Aide,Core Training,English,3,12,5,5,1,2-8 West Main Street,Johnstown,NY,12095,Fulton,35,Capital District                                                                                                                                                                                                                                                                                                                           
2019,Education Department - BPSS,"CHRISTINE INSTITUTE OF VOCATIONAL TRAINING, INC",OPEN,Home Health Aide,Core Training,English,3,79,79,106,0,120-13 Liberty Avenue,Richmond Hill,NY,11419,Queens,81,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                              
2019,Education Department - BPSS,"INTERACT HOME CARE TRAINING INSTITUTE, INC.",OPEN,Personal Care Aide,Basic Training,Spanish; Castilian,2,35,35,35,0,545 EIGHTH AVE,NEW YORK,NY,10018,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                               
2019,Education Department - EMSC,Adult Learning Institute,OPEN,Personal Care Aide,Basic Training,English,5,39,11,11,5,"One Civic Center Plaza, Suite 300",Poughkeepsie,NY,12601,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                       
2019,Department of Health,PEOPLE CARE INC - PATCHOGUE,OPEN,Home Health Aide,Core Training,English,1,4,4,4,0,1 SOUTH OCEAN AVENUE,PATCHOGUE,NY,11772,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,UTOPIA HOME CARE INC WESTBURY,OPEN,Home Health Aide,Nurse Aide Transition,English,10,11,11,11,0,95 POST AVENUE,WESTBURY,NY,11590,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                               
2019,Department of Health,"LIVING RESOURCES HOME CARE AGENCY, INC ALBANY",OPEN,Home Health Aide,Core Training,English,1,2,0,0,2,300 WASHINGTON AVE EXT,ALBANY,NY,12203,Albany,1,Capital District                                                                                                                                                                                                                                                                                                                    
2019,Department of Health,"BESTCARE, INC BROOKLYN",OPEN,Home Health Aide,Competency Evaluation,English,1,1,1,1,0,1784 FLATBUSH AVENUE,BROOKLYN,NY,11212,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,People Care Inc Brentwood,OPEN,Home Health Aide,Core Training,Spanish; Castilian,1,19,18,18,1,"1090 A Suffolk Ave, Brentwood",New York,NY,11717,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                              
2019,Department of Health,Buffalo,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,6,6,6,0,"3620 Harlem Road,Suite 16",Buffalo,NY,14215,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                            
2019,Education Department - BPSS,Access Careers,OPEN,Home Health Aide,Core Training,English,2,16,16,16,0,"25 Elm Street, Suite 201",Brooklyn,NY,11201,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,Home Health Care Partners,OPEN,Home Health Aide,Personal Care Aide Upgrade,English,0,0,3,3,0,1830 Riverfront Center,Amsterdam,NY,12010,Montgomery,57,Capital District                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,Caregivers,OPEN,Home Health Aide,Competency Evaluation,English,3,3,3,3,0,2465 Sheridan Drive,Tonawanda,NY,14150,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                                
2019,Department of Health,TANGLEWOOD MANOR,OPEN,Home Health Aide,Core Training,English,1,8,5,5,3,560 FAIRMONT AVE.,JAMESTOWN,NY,14701,Chautauqua,13,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                              
